YouTube Link,Song,Artist,Album,Year,Duration,Trim Start,Trim End,Era
https://www.youtube.com/watch?v=oIm2p_OgiY0,Mana dienišķā dziesma,Pērkons,,1987,230,5,10,vintage
https://www.youtube.com/watch?v=T6so1kZ34TI,Prom no pilsētas,Jumprava,,1987,231,5,10,vintage
https://www.youtube.com/watch?v=SHoorM9F_Vo,Smaidiet un dalieties,Credo,,1980,240,5,10,vintage
https://www.youtube.com/watch?v=fy4nAycqZMw,Rozā brille,Opus Pro,,1988,294,5,10,vintage
https://www.youtube.com/watch?v=PBXoYVuIZiA,Laika dziesmiņa,Līvi,,1983,228,5,10,vintage
https://www.youtube.com/watch?v=D2b8LG1GSzY,Dziesma par rozīti,Cikādes,,1982,166,5,10,vintage
https://www.youtube.com/watch?v=DvbCZWUnSkE,Nakts,Jumprava,,1986,218,5,10,vintage
https://www.youtube.com/watch?v=wnQ267kghRc,"Lielais, mazais",Eolika,,1985,165,5,10,vintage
https://www.youtube.com/watch?v=ONIrBi85uwc,Lapsene,Pērkons,,1983,54,5,10,vintage
https://www.youtube.com/watch?v=dWQGz02d6Vk,Tavs sauciens (Bēdu manu lielu bēdu),Remix,,1986,241,5,10,vintage
https://www.youtube.com/watch?v=RFYrZCnX31A,Aprīļa pilieni,Līvi,,1984,224,5,10,vintage
https://www.youtube.com/watch?v=ci8_w-3yfT4,Vēju muzikants,Jumprava (versija),,1989,267,5,10,vintage
https://www.youtube.com/watch?v=k6JbCeX4yek,Mākonis,Jumprava,,1986,247,5,10,vintage
https://www.youtube.com/watch?v=6OHd3_K2_l4,Genoveva,Žoržs Siksna,,1985,250,5,10,vintage
https://www.youtube.com/watch?v=kYEjCCK3QkE,Muļķe sirds,Žoržs Siksna,,1983,235,5,10,vintage
https://www.youtube.com/watch?v=FAI4nL3XnvQ,Atkal sāpe,Līvi,,1984,2707,5,10,vintage
https://www.youtube.com/watch?v=Ws0mCyv15kA,Ozolam,Līvi,,1989,332,5,10,vintage
https://www.youtube.com/watch?v=GpKZMQBsIyo,Ceļavējš,Zodiaks,,1989,264,5,10,vintage
https://www.youtube.com/watch?v=LfVgHi1GzwA,Fināla dziesma (No Lāčplēša),Kopkoris,,1988,290,5,10,vintage
https://www.youtube.com/watch?v=ICR_YJiY4PA,Šūpuļdziesma (mātei),Opus Pro,,1987,208,5,10,vintage
https://www.youtube.com/watch?v=c-3alcyHwG0,Meitenei kafejnīcā,Remix,,1986,279,5,10,vintage
https://www.youtube.com/watch?v=I0WULm0ipjM,Tava izredzētā,Mirdza Zīvere,,1982,165,5,10,vintage
https://www.youtube.com/watch?v=RiwytLqhDyw,"Kūko, kūko dzeguzīte",Eolika,,1984,233,5,10,vintage
https://www.youtube.com/watch?v=m-ZG2YzrLUg,Ugunskurs,Eolika,,1987,305,5,10,vintage
https://www.youtube.com/watch?v=nNkgL93t0kU,Likteņlīnijas,Turaidas Roze,,1987,306,5,10,vintage
https://www.youtube.com/watch?v=D3PV5uJgzaw,"Nelaid, māte, bērnus mežā",Turaidas Roze,,1986,274,5,10,vintage
